,Text,label
97,সকাল সকাল আন্ডে পিন্ডে গিলে বসে থাক,1
98,ওই কই রে তোরা আমার শেরওয়ানী টা নিয়া আয় বেটা।,0
99,ভালোবাসার ভাই,0
100,ডাক্তারের ব্যাস দেখাইয়া ঢং মারানোর মানে হয় দিয়ে কিচু হবে নাহ,1
101,ডানা কাটা পরি।,0
102,হাসিতে ফোটে ফুল,0
103,চম্ম লক্ষ ক্রিম আপা আপনার মতোই দেখতে খাসি টা একটু ক্রিম লাগিয়ে দেওন খাসিটা,1
104,পেট টা খুব ছোট দেখা যাচ্ছে আর একটু বড় হলে সুন্দর লাগতো,1
105,এই খেত,1
106,প্রত্যেকটা চরিত্রেই তুমি মাশায়াল্লাহ।,0
107,অসাধারণ একটা,0
108,", তোমার নাইখা,",0
109,গোলাপি মহিষের মতো লাগে,1
110,ডাইনি বুড়ি,1
111,এত আফসোস রাখতে নেই। কিছু মানুষ ছাড়াও জীবন সুন্দর!,0
112,মেকআপ এর আগেই সুন্দর লাগছিল,1
113,উফফফ আপু আমি মেয়ে হয়েও তোমার প্রেমে পরে মতো মেকাপ থুক্কু এত সুন্দর মেকাপ দিছে একদম কচি কুমড়া লাগছে,1
114,কাঠ গোলাপি,0
115,নাটকে তিনজনই খুব সুন্দর অভিনয় করে,0
116,অনেকদিন পর ফুল পাগল দেখলাম।,1
117,এর মুখ ও কি বর্ষার মত নাকি?,0
118,আপু এই কন্ঠ কি রিয়েল আপনার? না কি কোনো হিজরার?,1
119,এই একমাত্র মহিলা ইউটিউবার যার কিছুই আমার ভালো লাগে না,1
120,"সাতালনি দেখেছেন কেউ, রাজশাহী বিভাগের আশে পাশে যাদের বাসা তারা হয়তো চিনবা, তো ওই সাতালনী লাগছে",1
121,তোমার হাশি দেখে তো আমার রাতের ঘুম উড়ে গিয়েছে,0
122,তিন জন কে অসাধারণ লাগছে,0
123,তোর নাচ যারা আগে পাবনায় নেওয়া ডাইনি একটা,1
124,আসলেই পরিবেশ সুন্দর,0
125,"বেহায়া পনার একটা লিমিট থাকে,ফাজিল মহিলা",1
126,আফা গো আফা তোমারে তো একদম সাদা ফুরীর মতো লাগতাছে,1
127,তোর জন্য বাসায় মনে হয় দুইজনের খাবার রান্না করা লাগে 🙄,1
128,কালো বিড়াল,0
129,নাচ প্রতিবন্ধীদের মতো।।,1
130,ডানা ভাই আসলেই জোস,1
131,রাজশাহী  তে আসেন ভাই,0
132,আমি ভাসছি তোমার নেশায়...,0
133,সালি তোতলা,1
134,ভাইয়া বাস্তবতার কাছে সপ্ন গুলা মরে গেছে,0
135,তোরে পেত্নীর মতো লাগে নানি,1
137,লাগে তো তো বানরের মতো,1
138,"আসসালামু আলাইকুম প্রিয় , কেমন আছেন আপনি অত্যন্ত সুন্দর দিন যাপন করতেছেন আপনার সাথে কখনো দেখা করতে পারি নাই",0
139,পোস্টকারী আস্তা একটা অশিক্ষিত,1
140,তিনজনকে একসাথে খুব সুন্দর লাগছে,0
141,যত দেখি তত অনুপ্রাণিত  হই আমরা।,0
142,সোনাটা,0
143,ফকিন্নি আপু আর গয়না কি নেই,1
144,গোলাপি পরী,0
145,টিক টক করতেন যায়া তো অনেক প্রতিবন্ধী রা মারাও গেছে,1
146,জন্মগত ভদক্স নাকি ছোটবেলায় ট্রেনিং নিছিলেন?,1
147,আপনার মুচকি হাসিতে যেন পাগল হয়েছি,0
148,চিরিয়িখানার প্রানীর মত সাজাইছেন,1
149,দুজনই বদলে গেছি,0
150,পাগল মহিলা,1
151,হালুক গো,0
152,একটা ফকিরনির মতো আচরণ করলেন,1
153,এই বান্দির জি বান্দির নেকামী দেখলে মুইরা ঝাড়ু দিয়া হুইরা দিতে মন চায়,1
154,জুতাটা সুন্দর,0
155,জাপানি তেল লাগি দে পাগলের গুষ্টি,1
156,একটা বাজে মহিলা,1
157,এটা আমার পেতনি কিরিম,1
158,মাইকেলের ক্রাশ..,0
159,যখন আমি ভূল মানুষের উপর ক্রাশ খাই,0
160,গু মাখিয়ে খেলে ভালো যেভাবে খাচ্ছেন মনে হয় জীবনে খাবার চোখে দেখে জাত,1
161,আপু বেডায় মনে হয় আপনার চুখ দেইখা ডরাইছে,1
162,এই মুভিতে কেউ তারে খাইতে পারল না,0
163,আপু  হাসি মুখটা অনেক সুন্দর লাগে।,0
164,হুট করে বড়লোক হলে যা হয় আর,1
165,"বলছি না, কোন ছবি পোষ্ট করবা না",0
166,ভালোর অভিরাম,0
167," আমার দৃষ্টি প্রেক্ষাপটে আপনার  কথার কিছু ভুল আছে আমি আসা করি আপনি আবার ভিডিও টা দেখে বুঝতে পারবেনা,,  ধন্যবাদ  ",0
168,এই রকম অদ্ভুত মেকআপ করে ফাজলামো করার কি দরকার আপনার? আজব!,1
169,কুমিরের বাচ্চা শালা,1
170,তুমি নিজেই ব্যাশ্যা।। তাই এরকম ব্যাশ্যাকে সাপোর্ট তুমিই দিবা।।,1
171,মেয়ে মানুষ ভাইরাল হওয়া ভালো না।এমনি ভালো আছেন।,1
172,আবেগী আমাদের হুজুর তাজনীল হিজলা ভাই,1
173,সুন্দরী বাঘিনী,0
174,অসুস্থ মানুষের কাছে ঈদ আনন্দ হতে পারে,1
175,মাংস বোধ হয় প্রথম রান্না আর প্রথম খাচ্ছে সালার ফহিন্নি হুররর,1
176,আপু - শরীলের ওজন টা কমান।,1
177,পাগল গুলি কোতথেকে আসে,1
178,এইরকম করে সেজে বাহির হয়লে মানুষ আমাকে পাগল ভেবে দৌড়ানি দিবে ;(,1
179,বুসতির মেয়ে কিরিম আফা,1
180,বুড়ির নেকামি আর কতো দেখবো,1
181,মেহুআমার বউ হইতে তোমার কোনো আপত্তি আছে?,0
182,"হেডার পোয়া হিজড়া মতো করোছ কেন,, আমরা পোলা সুন্দর হয়ার দরকার নাই পানি মারলে হয় যায়,, তুই হিজড়া তুই লাগা,, তুই মাইয়াদের থিকেও খারাপ",1
183,সবাই যদি তোমরা আমেরিকা চলে যাও আমাদের কি হবে??,0
184,গরিবের সানি লিওন.,0
185,রূপে তোমার আগুন জ্বলে।  যৌবন ভরা অঙ্গে,0
186,বরাবরের মতো ভালো লাগলো,0
187,আমার প্রিয় অভিনেত্রী,0
188,প্রতিবন্ধী,1
189,অনেক সুন্দর তুমি,0
190,ন্যাকির মা,1
191,মানুষ এমন কেনো তার বিপরীত দিকের মানুষটা কতোটা আঘাত পাবে অথবা পাচ্ছে সেটা বুঝতে ই চাই না।হুট করে একটা কথা বলে ফেলে,0
192,অরে বাটপার পায়ের মধ্যে ময়দা মাখতে মনে নাই বুঝি,1
193,তোমাকে আজকে খুব সেক্সি লাগছে,0
194,ডাইনির চেহারা।,1
195,তুমি ভাসছো আমার অন্তরে।,0
196,মানুষ যত বেশি সেলিব্রিটি হয় পোশাকের পরিবর্তন সবার আগে লক্ষ করা যায়,0
197,তোর মুখটা পুরো পুতনা রাক্ষসীর মত লাগছে,1
198,"সিন্ডিকেটে বস কে যেভাবে ব্ল্যাকমেইল করছে, জাস্ট",0
199,সুন্দর,0
200,হিজরাডা এমন করে কেনো,1
201,অসাধারণ প্রিয়,0
202,ভাভাগো ভাভা নাইট ক্লাবেও বোরকা পড়ে যায়....কনফার্ম জান্নাতি,1
203,ভালোবাসা,0
204,সেমিস্টার ফাইনাল পরিক্ষা থাকার কারণে মিস করলাম,0
205,মেয়ে হয়ে জন্মিছেন তো পরিষ্কার তো করতেই হবে আপু,1
206,চেহারা দেখে মনে হচ্ছে আমাজন জংগল থেকে চলে আসছে।নিজেকে আয়নায় দেখে নাকিমনে হয় আয়নাও মুখ ফিরিয়ে নিবে,1
207,এই ফালতু মাইয়া তুই ব্লগ করা বন্ধ কর,1
208,উফফফ! আবেগ আর নিতে পারছিনা কেদে কেদে বুক ভেসে যাচ্ছে!,0
209,মানুষ চাইলে জীবনে সব স্বপ্ন সত্যি  করতে পারে,0
210,ওর কাছে কেও সাজতে আসে জোয়ান থেকে বুরি বানাইয়া দিবো,1
211,এ বেটি তো লিপস্টিক ছাড়া চলে নাহ... খাইতে গেলে... লিপস্টিক... ফালতু মহিলা একটা লাজ লজ্জা কিছু নাই....,1
212,সোনার টুকরা একটা।,0
213,পাগলের মতো লাগতাছে,1
214,হায় মুটকি বুড়ি,1
215,"এই রকম জঙ্গলী মহিলারে,",1
216,"কিছু দিয়েছেন ডিরেক্টরকে,তাই কিছু পেয়েছেন আপনি।",0
217,আপনার এখন পাবনার মানসিক হাসপাতালে চিকিৎসা নেওয়া উচিত,1
218,সরকারের প্রতি আবেদন মেকাপের দাম বাড়ান। নয়তো এই ফকিন্নি মহিলা প্রতিদিন মেকাপকে দর্শন করবে,1
219,এদের চেয়ে বান্দরটা ভালো লাগে,1
220,হাজারো স্বপ্ন তুমি কিরিম,1
221,"তোতলামি করছ,,ভাব লস তুই পিচ্চি?",1
222,দেখা করতে আসবো কি বললাম আর তাতেই এত সাজগোজ!,0
223,"তোমার সব নাটক, টেলিফিল্মে দেখলাম তৃতীয় ব্যক্তি খেয়ে দেয়  সত্যি বলতে তোমার চেহারাটায় খাইয়া দেওনের চেহারা",0
224,ঢেলে দেই?,0
225,হাত কালো কেনো?,1
226,সব গুলো ক্রাশ একসাথে,0
227,আমি আমার সপ্নকে আবার ফিরে পেয়েছি। যেন সন্দিহান ছিলাম। এখন আমি জানি আমায় কখন কি করতে হবে।,0
228,খাসি টা তোর থেকে ও অনেক সুন্দর। তুই আর ক্রিম মাখিস না।,1
229,যে যেমন তার চোখে আশপাশ তেমন,0
230,তোমার হাসিগুলা এতো নটি কেন,0
231,তুই কি মানুষ! নাকি জঙ্গল থেকে উঠে আসা কোন ভয়ঙ্কর প্রাণী,1
232,বিশ্বের নাম্বার ওয়ান সুন্দরী,0
234,এত সুন্দর কেন,1
235,প্রতিবন্ধীর চাও কয় কি,1
236,ওলে ওলে বাবালে আমার ডাইনিবুঁড়ি টা কি খাচ্ছে,1
237,পাগল হইলে যা হয় আর কি,1
238,এসব আজব মেয়েগুলা কোন চিড়িয়াখানাতে থাকে না জানতে চাওয়া আমার মন,1
239,"গার্লফ্রেন্ড না থাকা ছেলেগুলাই ভদ্র,",0
240,পোস্টদাতা মনে হয়,1
241,কি আজব পৃথিবীর মানুষ আচ্ছা একটা মানুষের লজ্জা থাকে কোথায়  ওই মহিলাটা এক নাম্বার নির্লজ্জ লজ্জা কি ওনি যানে না,1
242,"ভেবেছিলাম দুইটা বিয়ে করবো,একজন রেগে গেলে আরেকজন আদর করবে",0
243,বুড়ি মুটকি নানি,1
244,এতি দেখি টাকলা মুরাদের মত!,1
245,মিরপুরের পাবলিক তাইলে এইভাবে মোমো,1
246,তোমাকে একদম ধবধবে সাদা কোইতরের মতন লাগছে গো সোনা মারাত্মক সুন্দরী,0
247,পেতনির মত সাজো করলে,1
248,গ্রামের চাচাতো ভাই-এর প্রথমবার রেস্টুরেন্টে গিয়ে খাওয়ার অভিজ্ঞতা,1
249,পাকিস্তানি,1
250,ভাইয়া আসসালামু আলাইকুম,0
251,তোর ক্রাশ,0
252,কলকাতা থেকে বলছি এটা এক অন্য তাশনিয়া ফারিন  অন্য রুপে কিন্তু তাঁর ভুবন ভোলানো হাসিটা কিন্তু আমাদের সবাইকে আনন্দ দিচ্ছে,0
253,তোতলা নাকি বইন?,1
254,সেই সাথে এই দাতালের প্রতিটি ফ্যান ফলোয়ার কেও চিকিৎসা করানো দরকার।,1
255,পেতনী দেখলেও ডরাইবো,1
256,এতো ডং করার কি আছে বুঝলাম না,1
257,মেহু,0
258,আপু তোমার মাতাতে সমস্যা আছে,1
259,অসাধারণ।,0
260,সঠিক নেতৃত্ব,0
261,আফা হাত এতো কালা ক্যান?,1
262,বেয়াদব,1
263,তুই তাকালে থমকে থাকে আমার বুকের বাঁ পাশ,0
264,বাংলা নাটকের সৌন্দর্য  বৃদ্ধির অন্যতম কারিগর তিনজনই।  ফেভারিট,0
265,রাখশের গুশটি মর তোরা,1
266,এ জগতে কত প্রকারের মানসিক প্রতিবন্ধী যে আছে,1
267,আনন্দ বেশী হচ্ছে,0
268,আপনি কক্সবাজারে আসছেন অথচ আমি জানি না। ইশ ভাইয়্যা আপনার সাথে দেখা করার খুব ইচ্ছা ছিল। এই রকম সুযোগ হওয়ার পরও আমি আপনার সাথে দেখা করতে পারলাম না। আসলে জানতাম না আপনি কক্সবাজারে আসবেন যে এটা। ইনশা আল্লাহ্ সামনে চেষ্টা করবো আপনার সাথে খুবই কাছ থেকে দেখা করতে।,0
269,ওই যে আমি,0
270,দেখা করে গেলা না,0
271,কোরবানির পশুর দেহের কোনো অংশ নিয়ে কখনোই মজা করা উচিত নয় একজন মুসলিম হিসেবে। সুতরাং এই কাজটা হারামের সাথে গুনারও।,1
272,আর আপনারা যারা বলেন নারীরা শিক্ষিত যা খুশি সিদ্ধান্ত নেওয়ার অধিকার আছে তাদের বলছি এ জিনিসটা ভাবা আসলেই বোকামি ছাড়া আর কিছুই না।,1
273,"ভালো লাগলো গল্পটা,,আর আপনার বুজানোটা ও অনেক সুন্দর ছিলো,ধন্যবাদ",0
274,অনেক সুন্দর লাগতাছে তোমাকে,0
275,আইসক্রিম,0
276,একদম সাদা পরী,0
277,রাফসান হকের রান্নার কোনো তুলনা হয় না,0
278,তুই তাহলে হিজড়া না?,1
279,খানকির ছেলে তোর বাবার পোদের ফুটোয়্ এই ভাবে ফু পাক্কা শুয়োরের বাচ্ছা,1
280,"ভূত সাজার শখ হইছে আপুর,",1
281,ভাই আপনার কথাগুলো অনেক সুন্দর লাগে!,0
282,ফকিন্নি মেক্স আল্ট্রা প্রো লাগতেসে,1
283,ওই বেডি এত খস ক্যা,1
284,আমি লাস্ট ৪ দিন ধরে প্রথম ২ টা জিনিস অনুসরণ করার চেষ্টা করতেছি,0
285,কুকুরের মত খাচ্ছে । মনে হচ্ছে জীবনে খাই নাই,1
286,তোর ছেলে তোরে লাথি দিয়ে বের করবে ফালতু,1
287,আমার বাকা দাঁত গুলো তাড়াতাড়ি ঠিক করতে হবে,1
288,তোমায় দেখলে চোখে নেশা হয়।,0
289,মেজু চট্টগ্রাম আসলে কল দিস,0
290,কই থেকে আইছোছ ফকিন্নি,1
291,আসসালামুআলাইকুম ভাইয়া ...,0
292,কালো পা এর মধ্যে কিরিম লাগানোর জন্য বিনীত অনুরোধ জানাচ্ছি 🙂,1
293,তোমার হাসি কি আমার হাসির চেয়েও সুন্দর,0
294,আরেহ আমার ৩টা বউ একসাথে,0
295,মন তো অনেক কিছু চায় চাইলে কি পাওয়া যায়,0
296,ধন্যবাদ ভাইয়া! একটা শিক্ষিত জাতি গড়ে তোলার স্বপ্ন ও আপনার অক্লান্ত পরিশ্রম সার্থক হোক! অনেক ভালোবাসা আপনার জন্য...,0
297,"সবগুলা বস্তির মেয়ে! পতিতালয়ের মেয়ে সব গুলা,",1
298,ক্রিম আফার বডি কালা মুখ সাদা,1
299,পরিবেশের চেয়ে তোমার হাসিটা বেশি সুন্দর,0
300,"কাজল চোখের মেয়ে,",0
301,"আপনার ওপর কিন্তু অনেক ছেলের নজর পইরা গেছে,এই খুসিতে আবার কিছু ভাইরাল কইরেন না আপা",0
302,তুসি তোরে আমি দিবো একটা ঘুসি,0
303,কারো ফেসবুক আইডি অথবা পেইজ ফলোয়ার লাগলে ইনবক্স করুন।,0
304,যেই না চেহারা আবার করে কুয়ারা,1
305,কেরাশ,0
306,তুমি হাসো আর আমি ফাসি,0
307,বেদের মেয়ের প্রেমে পড়ে গেলাম,0
308,"বুড়া বয়সে চু**নেওয়ার সখ হয়ছে,",1
309,ভুতনি রে আরো ভুত বানাইছে,1
310,তোমাকে এতো বেশি সুন্দর লাগছে,0
311,আমার তিন রাজকুমারী,0
312,কইতাম না কিছু,0
313,মানসিক প্রতিবন্ধী,1
315,আওয়ামীলীগ একদিন পুরো পৃথিবী শাসন করবে,0
316,"কাজল চোখের মেয়ে,আমার দিবস কাটে বিবস হয়ে,তোমার চোখে চেয়ে!",0
317,স্কুল এর টপ স্টুডেন্ট যখন কোথাও চান্স পায়না তখন এসব মোটিভেশনাল কথাবার্তা শোনার কোন মানেই হয়না,0
318,কামলা মহিলা ভারসন।,1
319,আপুর বিয়ের দাওয়াত খেতে চাই,0
321,জ্বি পরিবেশ টা খুবই সুন্দর।,0
322,তোমার জলে ভিজবো বলে শুকনো হয়ে থাকি,0
323,আপু একদম ইলিশ হাসি দিছে,0
324,তোমার সৌন্দর্যে বিভোর থাকি প্রিয়,0
325,দাঁত গুলো রিক্সার মতন,1
326,নারী সুন্দর শাড়ীতে,0
327,সিনেমা পরে আগে বলো তুমি কেমন আছো,0
328,এই মহিলার মাথা পুরাই শেষ,1
329,একজনকে দেখলাম নিজে বিয়ে করার পরে মোটিভেশনাল বক্তব্য,1
330,আমার পছন্দের ৩ জন মানুষ।,0
331,কেউ গেইম ডেভলপার হইতে চায়,0
332,পিছোন থেকে দেখে তোমার মায়ায় পড়েছি,0
333,৪ টা কথা এখানে সংক্ষিপ্ত ভালে লিখা চাই,0
334,আরও দুইটা তিল দরকার ঠোঁটে,1
335,"একদম ফালতু সিনেমা, হলে গিয়ে কেউ ধোকা খাইয়েন না।",0
336,তোমাকে পেলে জীবনটাও অনেক সুন্দর হয়ে উঠতো,0
337,চিকনা মালটা হেব্বি বাট মুখটা বান্দর মুখি,1
338,তুমার গলা কালা,1
339,উফ!! আমাল বাবুতা,0
340,ছোট পর্দার তিনজন পছন্দের অভিনেত্রী একসাথে।,0
341,"মরার আগে রোজিনাকে পুরাই ফাউল বানাই ছাড়বি তুই,",1
342,বেবিজ`জ আহা।,0
343,তুই একটা লোভী 🙂,1
344,সত্যি বলতে কি মেহজাবিন কে আমার একটুও ভালো লাগে না ।,0
345,কোরবানিকে তারা এখন তামাসা বানাই পেলচে,1
346,সবাইকে অনেক অনেক ধন্যবাদ।।,0
347,বাপের জন্মে গরুর মাংস না খেয়ে থাকলে জা হয়।।।অসভ্য ছেলে কুথাকার।।।,1
348,আফা আপনার কাইলার গরে কাইলাহ কই,1
349,সরি ডিয়ার কিছুদিন আনফলো করলাম...১৩ তারিখ থেকে পরীক্ষা তো তাই...,0
350,এই পুলার কাছে গেলে সবাই এমন হবে,1
351,এরা কারা কোতথেকে আসে এসব পাগল ছাগল,1
352,সবায় কি নিউ ওয়ার্ক এ,0
353,পুরাই পাগল,1
354,আফাগো আপনে পাবনা থেকে আসলেন কেন?,1
355,লাল পরী,0
356,মামি আপনি অন্দ,1
357,মাই কুইন ফারিন,0
358,আমাদের বিয়েতে ও এমন ভাবে সেজে এসো।,0
359,কাজল চোখের মেয়ে,0
360,মাশাল্লাহ আপনাকে হিজাব আর শাড়ি তে অনেক সুন্দর লাগছে,0
361,"আয়মান ভাই এটা ঠিক না,আপনি ত খুব লুচ্চা শুধু মেয়েদের দিকে দেখতাছেন,,, ছেলের কাছে যাওয়ার খবর নাই, লুচ্চা বেডা",0
362,কিরিম আপার মেক আপ টা পুরো ভূতের মতন লাগতাছে,1
363,জ্বি পরিবেশ টা সুন্দর কিন্তু সিনেমা হলে হইচই সেই,0
364,এরচেয়ে আমার বাসার খালারেও সুন্দর দেখায়,1
365,পরিবেশ থেকে তুমি আর বেশি সুন্দর,0
366,গুইয়া কালার নখ,1
367,"প্রিয় তুসি, তোমার মুখের জ্যোৎস্নার",0
368,তোমার হাসি শ্রাবণ ঢলে স্বপ্ন নিয়ে বাঁচতে চাই,0
369,তোমারে কে ছুঁবে আমার তো মনে হয় রাস্তায় কুওা ও তোমারে দেখে দৌড় মারে,1
370,যে যেমন তার দৃষ্টিভঙ্গিও তেমন। ওভারঅল গল্পটা সুন্দর।,0
371,তোর তো পুরা হিজড়া হিজড়া দেখা যাবে ভাবেনি,1
372,মুসলমানরা যখন আল্লাহর সন্তুষ্টির জন্য কোনো প্রাণীকে কোরবানি আর সেই পশুটিকে কোরবানির সময় ছুরিকে খুব ভালে করে ধার করে তাকে আদর যত্ন করে খাবার পানি পান জবাইয়ের সময় অন্য পশুদের থেকে দূরে নিয়ে কোরবানি জবাইয়ের পর তার গোস্ত গরীব মুসলমানদের মাঝে বিতরণ করে ইত্যাদি তখন অমুসলিমদের কাছে হয়ে যায় পশু হত্যার মত,1
373,মাঝখানের টা আমার,0
374,হায় ফকিন্নি কার গারিতে তেল মাইরা ওঠছো।,1
